,date,births
1,2015-01-01,8068
2,2015-01-02,10850
3,2015-01-03,8328
4,2015-01-04,7065
5,2015-01-05,11892
6,2015-01-06,12425
7,2015-01-07,12141
8,2015-01-08,12094
9,2015-01-09,11868
10,2015-01-10,8014
11,2015-01-11,7172
12,2015-01-12,11479
13,2015-01-13,11924
14,2015-01-14,12013
15,2015-01-15,12339
16,2015-01-16,11861
17,2015-01-17,8280
18,2015-01-18,7195
19,2015-01-19,10602
20,2015-01-20,12242
21,2015-01-21,12086
22,2015-01-22,11949
23,2015-01-23,11910
24,2015-01-24,8235
25,2015-01-25,7186
26,2015-01-26,11728
27,2015-01-27,11882
28,2015-01-28,11602
29,2015-01-29,11967
30,2015-01-30,11571
31,2015-01-31,7987
32,2015-02-01,7139
33,2015-02-02,11480
34,2015-02-03,12079
35,2015-02-04,11924
36,2015-02-05,11821
37,2015-02-06,11656
38,2015-02-07,8285
39,2015-02-08,7265
40,2015-02-09,11937
41,2015-02-10,12291
42,2015-02-11,11911
43,2015-02-12,12285
44,2015-02-13,11321
45,2015-02-14,8390
46,2015-02-15,7508
47,2015-02-16,11038
48,2015-02-17,11952
49,2015-02-18,12061
50,2015-02-19,11968
51,2015-02-20,11864
52,2015-02-21,8343
53,2015-02-22,7254
54,2015-02-23,11260
55,2015-02-24,11941
56,2015-02-25,11828
57,2015-02-26,11672
58,2015-02-27,11596
59,2015-02-28,7989
60,2015-03-01,7273
61,2015-03-02,11609
62,2015-03-03,12402
63,2015-03-04,11927
64,2015-03-05,11681
65,2015-03-06,11612
66,2015-03-07,7980
67,2015-03-08,6929
68,2015-03-09,11678
69,2015-03-10,12282
70,2015-03-11,11850
71,2015-03-12,12042
72,2015-03-13,10940
73,2015-03-14,8217
74,2015-03-15,7202
75,2015-03-16,11537
76,2015-03-17,12312
77,2015-03-18,11807
78,2015-03-19,11721
79,2015-03-20,12040
80,2015-03-21,8080
81,2015-03-22,7171
82,2015-03-23,11674
83,2015-03-24,12333
84,2015-03-25,11872
85,2015-03-26,12065
86,2015-03-27,11629
87,2015-03-28,8071
88,2015-03-29,7125
89,2015-03-30,11500
90,2015-03-31,12362
91,2015-04-01,11596
92,2015-04-02,12296
93,2015-04-03,11234
94,2015-04-04,7981
95,2015-04-05,6821
96,2015-04-06,11455
97,2015-04-07,12334
98,2015-04-08,11976
99,2015-04-09,11874
100,2015-04-10,11724
101,2015-04-11,8092
102,2015-04-12,7141
103,2015-04-13,11503
104,2015-04-14,12309
105,2015-04-15,11794
106,2015-04-16,11947
107,2015-04-17,11718
108,2015-04-18,8028
109,2015-04-19,7180
110,2015-04-20,11513
111,2015-04-21,12173
112,2015-04-22,11917
113,2015-04-23,11877
114,2015-04-24,11749
115,2015-04-25,8101
116,2015-04-26,7178
117,2015-04-27,11494
118,2015-04-28,12221
119,2015-04-29,11775
120,2015-04-30,11831
121,2015-05-01,12178
122,2015-05-02,8075
123,2015-05-03,7195
124,2015-05-04,11724
125,2015-05-05,12618
126,2015-05-06,11924
127,2015-05-07,11649
128,2015-05-08,11810
129,2015-05-09,8216
130,2015-05-10,7246
131,2015-05-11,11549
132,2015-05-12,12400
133,2015-05-13,11572
134,2015-05-14,11793
135,2015-05-15,12306
136,2015-05-16,8337
137,2015-05-17,7354
138,2015-05-18,11708
139,2015-05-19,12469
140,2015-05-20,12352
141,2015-05-21,12246
142,2015-05-22,12147
143,2015-05-23,8267
144,2015-05-24,7261
145,2015-05-25,7746
146,2015-05-26,12242
147,2015-05-27,12845
148,2015-05-28,12722
149,2015-05-29,12168
150,2015-05-30,8431
151,2015-05-31,7367
152,2015-06-01,11793
153,2015-06-02,11994
154,2015-06-03,11890
155,2015-06-04,11918
156,2015-06-05,12303
157,2015-06-06,8313
158,2015-06-07,7230
159,2015-06-08,11938
160,2015-06-09,12479
161,2015-06-10,12123
162,2015-06-11,12029
163,2015-06-12,12064
164,2015-06-13,8104
165,2015-06-14,7292
166,2015-06-15,12348
167,2015-06-16,12400
168,2015-06-17,12192
169,2015-06-18,12323
170,2015-06-19,11767
171,2015-06-20,8451
172,2015-06-21,7580
173,2015-06-22,11883
174,2015-06-23,12351
175,2015-06-24,12292
176,2015-06-25,12416
177,2015-06-26,12152
178,2015-06-27,8652
179,2015-06-28,7371
180,2015-06-29,11961
181,2015-06-30,12932
182,2015-07-01,13033
183,2015-07-02,13038
184,2015-07-03,10375
185,2015-07-04,7944
186,2015-07-05,7164
187,2015-07-06,12088
188,2015-07-07,13426
189,2015-07-08,12788
190,2015-07-09,12517
191,2015-07-10,12396
192,2015-07-11,8769
193,2015-07-12,7591
194,2015-07-13,11835
195,2015-07-14,12862
196,2015-07-15,12853
197,2015-07-16,12502
198,2015-07-17,12291
199,2015-07-18,8546
200,2015-07-19,7681
201,2015-07-20,12424
202,2015-07-21,13264
203,2015-07-22,12519
204,2015-07-23,12852
205,2015-07-24,12612
206,2015-07-25,8748
207,2015-07-26,7836
208,2015-07-27,12416
209,2015-07-28,13240
210,2015-07-29,12739
211,2015-07-30,12797
212,2015-07-31,12269
213,2015-08-01,8851
214,2015-08-02,7907
215,2015-08-03,12449
216,2015-08-04,13149
217,2015-08-05,12793
218,2015-08-06,12872
219,2015-08-07,12770
220,2015-08-08,8956
221,2015-08-09,7726
222,2015-08-10,12333
223,2015-08-11,13010
224,2015-08-12,12960
225,2015-08-13,12591
226,2015-08-14,12861
227,2015-08-15,8938
228,2015-08-16,7896
229,2015-08-17,12337
230,2015-08-18,13197
231,2015-08-19,12966
232,2015-08-20,13002
233,2015-08-21,12834
234,2015-08-22,9153
235,2015-08-23,7821
236,2015-08-24,12274
237,2015-08-25,13149
238,2015-08-26,12729
239,2015-08-27,12829
240,2015-08-28,12719
241,2015-08-29,8772
242,2015-08-30,7805
243,2015-08-31,12142
244,2015-09-01,13231
245,2015-09-02,12799
246,2015-09-03,12839
247,2015-09-04,12862
248,2015-09-05,8950
249,2015-09-06,7778
250,2015-09-07,8127
251,2015-09-08,12823
252,2015-09-09,13949
253,2015-09-10,13925
254,2015-09-11,12295
255,2015-09-12,9062
256,2015-09-13,7900
257,2015-09-14,12699
258,2015-09-15,13439
259,2015-09-16,13136
260,2015-09-17,13319
261,2015-09-18,13229
262,2015-09-19,9195
263,2015-09-20,8078
264,2015-09-21,12567
265,2015-09-22,13047
266,2015-09-23,12595
267,2015-09-24,12942
268,2015-09-25,12792
269,2015-09-26,8927
270,2015-09-27,7778
271,2015-09-28,12158
272,2015-09-29,12791
273,2015-09-30,12284
274,2015-10-01,13043
275,2015-10-02,12399
276,2015-10-03,8579
277,2015-10-04,7530
278,2015-10-05,12166
279,2015-10-06,12520
280,2015-10-07,12429
281,2015-10-08,12458
282,2015-10-09,12282
283,2015-10-10,8550
284,2015-10-11,7571
285,2015-10-12,11633
286,2015-10-13,12094
287,2015-10-14,12205
288,2015-10-15,12522
289,2015-10-16,11917
290,2015-10-17,8233
291,2015-10-18,7211
292,2015-10-19,11388
293,2015-10-20,12500
294,2015-10-21,12093
295,2015-10-22,12013
296,2015-10-23,11942
297,2015-10-24,8239
298,2015-10-25,7288
299,2015-10-26,11923
300,2015-10-27,12485
301,2015-10-28,12266
302,2015-10-29,11950
303,2015-10-30,11529
304,2015-10-31,8049
305,2015-11-01,7731
306,2015-11-02,12236
307,2015-11-03,12524
308,2015-11-04,12279
309,2015-11-05,12452
310,2015-11-06,11909
311,2015-11-07,8517
312,2015-11-08,7324
313,2015-11-09,11688
314,2015-11-10,12451
315,2015-11-11,12311
316,2015-11-12,12329
317,2015-11-13,11643
318,2015-11-14,8221
319,2015-11-15,7378
320,2015-11-16,11791
321,2015-11-17,12321
322,2015-11-18,12230
323,2015-11-19,12504
324,2015-11-20,12495
325,2015-11-21,8392
326,2015-11-22,7427
327,2015-11-23,12419
328,2015-11-24,13051
329,2015-11-25,11745
330,2015-11-26,7332
331,2015-11-27,8942
332,2015-11-28,7734
333,2015-11-29,7230
334,2015-11-30,12214
335,2015-12-01,13185
336,2015-12-02,12708
337,2015-12-03,12281
338,2015-12-04,11828
339,2015-12-05,8262
340,2015-12-06,7194
341,2015-12-07,11567
342,2015-12-08,12328
343,2015-12-09,11857
344,2015-12-10,12259
345,2015-12-11,11406
346,2015-12-12,8073
347,2015-12-13,7262
348,2015-12-14,11753
349,2015-12-15,12437
350,2015-12-16,12282
351,2015-12-17,12339
352,2015-12-18,12247
353,2015-12-19,8368
354,2015-12-20,7361
355,2015-12-21,12692
356,2015-12-22,13131
357,2015-12-23,11595
358,2015-12-24,8714
359,2015-12-25,6515
360,2015-12-26,7294
361,2015-12-27,7518
362,2015-12-28,13100
363,2015-12-29,13458
364,2015-12-30,13100
365,2015-12-31,11608
